timestamp,paciente_id,paciente_nome,paciente_cpf,hr,spo2,pressao_sys,pressao_dia,temp,resp_freq,status
12:00:01.20,PAC003,Pedro Oliveira,456.789.123-00,105,92,140,95,37.2,24,ALERTA
12:00:01.40,PAC003,Pedro Oliveira,456.789.123-00,106,91,142,96,37.3,25,ALERTA
12:00:01.60,PAC003,Pedro Oliveira,456.789.123-00,107,90,144,97,37.4,26,ALERTA
12:00:01.80,PAC003,Pedro Oliveira,456.789.123-00,108,89,146,98,37.5,27,ALERTA
12:00:02.00,PAC003,Pedro Oliveira,456.789.123-00,109,88,148,99,37.6,28,ALERTA
12:00:02.20,PAC003,Pedro Oliveira,456.789.123-00,110,87,150,100,37.7,29,ALERTA
12:00:02.40,PAC003,Pedro Oliveira,456.789.123-00,111,86,152,101,37.8,30,ALERTA
12:00:02.60,PAC003,Pedro Oliveira,456.789.123-00,112,85,154,102,37.9,31,ALERTA
12:00:02.80,PAC003,Pedro Oliveira,456.789.123-00,113,84,156,103,38.0,32,ALERTA
12:00:03.00,PAC003,Pedro Oliveira,456.789.123-00,114,83,158,104,38.1,33,ALERTA 
