timestamp,paciente_id,paciente_nome,paciente_cpf,hr,spo2,pressao_sys,pressao_dia,temp,resp_freq,status
12:00:01.20,PAC001,João Silva,123.456.789-00,87,96,130,85,36.7,18,NORMAL
12:00:01.40,PAC001,João Silva,123.456.789-00,88,95,132,86,36.8,17,NORMAL
12:00:01.60,PAC001,João Silva,123.456.789-00,89,94,134,87,36.9,18,NORMAL
12:00:01.80,PAC001,João Silva,123.456.789-00,90,93,136,88,37.0,19,NORMAL
12:00:02.00,PAC001,João Silva,123.456.789-00,91,92,138,89,37.1,20,NORMAL
12:00:02.20,PAC001,João Silva,123.456.789-00,92,91,140,90,37.2,21,NORMAL
12:00:02.40,PAC001,João Silva,123.456.789-00,93,90,142,91,37.3,22,NORMAL
12:00:02.60,PAC001,João Silva,123.456.789-00,94,89,144,92,37.4,23,NORMAL
12:00:02.80,PAC001,João Silva,123.456.789-00,95,88,146,93,37.5,24,NORMAL
12:00:03.00,PAC001,João Silva,123.456.789-00,96,87,148,94,37.6,25,NORMAL 
